FeatureGroupIndex	FileName	MonoisotopicMass	AverageMass	StartRetentionTime(FWHM)	EndRetentionTime(FWHM)	HighestApexRetentionTime	MedianApexRetentionTime	FeatureGroupQuantity	AllAreaUnderTheCurve	SumIntensity	MinCharge	MaxCharge	ChargeCount	MostAbundantFeatureCharge	IsotopeCosineScore
0	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	9106.356829	9111.983433	3818.626149	3856.262389	3830.008198	3830.008198	105532436609.577881	109866390806.872986	109866390877.873093	6	11	6	8	0.993801
1	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	9107.345359	9112.971962	3882.939974	3921.170000	3905.870072	3905.870072	7804031486.483014	8833627155.570560	8833627213.570555	6	10	5	8	0.995386
2	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	9107.333366	9112.959970	3955.158798	4024.585315	3977.291136	3981.233641	422292290.190668	452712533.393275	452712557.393275	7	10	4	8	0.972724
3	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	7267.730178	7272.274609	3014.084184	3045.662649	3021.950657	3021.950657	60749354733.094482	64585910414.900108	64585910465.900032	5	9	5	7	0.997864
4	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	7268.717876	7273.262307	3129.530375	3167.045286	3148.487213	3148.487213	193106928.093728	240530158.643535	240530172.643535	6	8	3	7	0.928635
5	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	9106.347824	9111.974428	3668.868069	3756.637637	3684.840643	3688.147060	526710359.194051	551505586.039679	551505613.039679	7	10	4	8	0.942887
6	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	7271.723209	7276.267640	2982.549429	3042.076921	3029.746326	2998.344762	323875506.695777	332144060.045385	332144085.045385	6	8	3	7	0.964554
7	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	7328.783231	7333.352879	3204.154132	3242.568857	3229.992882	3229.992882	20335934640.011627	22112123782.228344	22112123848.228340	5	11	7	7	0.998129
8	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	10345.974867	10352.432855	3269.649192	3314.589181	3302.781720	3302.781720	752391202.075939	781786295.754625	781786370.754625	7	13	7	12	0.998307
9	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	9058.373543	9063.965204	3318.392999	3360.943764	3345.553124	3345.553124	23699841752.804745	26479851357.083504	26479851396.083523	6	8	3	7	0.998173
10	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	6407.609402	6411.547113	2466.582807	2503.216870	2484.640301	2477.379017	39095823062.441597	44081319425.744881	44081319492.744942	5	11	7	8	0.997782
11	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	11179.278417	11186.228652	2189.492008	2252.438426	2220.282202	2220.282202	16399069764.876041	17914374682.434891	17906193982.821774	8	24	17	15	0.996080
12	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	9635.937844	9641.970273	2193.308629	2243.610825	2212.339834	2212.339834	1700920583.036587	2031224384.288798	2007896723.028651	7	16	10	14	0.993306
13	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	12208.331339	12215.971705	2197.596408	2243.610825	2220.282202	2220.282202	1015509924.382018	1180391965.816076	1180392057.816075	12	21	10	17	0.982953
14	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	10325.670360	10332.112493	2177.156458	2239.581814	2204.769107	2201.085867	603106382.069914	725972437.758300	713566755.909353	11	22	12	16	0.995964
15	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	11277.254678	11284.255792	2193.308629	2252.438426	2227.954239	2226.104843	725312681.465810	802668513.623173	789528250.795438	8	18	11	14	0.992189
16	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	11194.263455	11201.225313	2193.308629	2264.370126	2212.339834	2212.339834	383311815.465923	447871309.845308	324380106.245922	12	20	9	14	0.931419
17	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	11202.262169	11209.224026	2177.156458	2252.438426	2227.954239	2220.282202	243277234.628362	272287806.057132	187738258.954523	11	19	9	14	0.875947
18	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	12224.315976	12231.970434	2180.964135	2260.839753	2204.769107	2212.339834	258128380.241273	297253415.675564	293169495.911372	13	20	8	19	0.978614
19	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	11106.222087	11113.132996	2185.309669	2256.689316	2224.255447	2220.282202	166290322.889513	193981020.373239	191061626.564825	13	21	9	17	0.962717
20	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	11194.268064	11201.229922	2129.247383	2212.339834	2189.492008	2189.492008	143178841.496463	150184538.774011	148976715.140969	12	21	10	17	0.961940
21	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	10341.660353	10348.118340	2173.239089	2260.839753	2201.085867	2204.769107	94207319.443881	112663925.508212	101896630.239971	14	21	8	15	0.943316
22	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	12530.263215	12538.083467	2093.136300	2189.492008	2141.992622	2153.608153	116282970.838760	122609442.535590	121006576.855055	13	20	8	16	0.855181
23	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	8630.005691	8635.363112	2168.987639	2235.616009	2189.492008	2193.308629	72353100.081669	83713824.688226	81734003.112044	7	14	8	13	0.952710
24	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	11194.265963	11201.227820	2109.123069	2189.492008	2141.992622	2141.992622	36694361.746337	37190708.043325	29988586.981848	13	16	4	15	0.940384
25	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	12540.273659	12548.105481	2141.992622	2208.541622	2189.492008	2180.964135	49187657.156485	49493041.609351	43269964.189581	14	19	6	16	0.937739
26	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	9587.945639	9593.964212	2133.342006	2189.492008	2157.337614	2157.337614	23953972.247346	24111133.498383	22613505.532129	12	16	5	12	0.886869
27	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	6406.731639	6410.669350	2165.480335	2264.370126	2212.339834	2197.596408	42220365.038625	45781643.835844	45781663.835844	6	10	5	10	0.922681
28	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	7741.874730	7746.711822	2193.308629	2290.506650	2272.186129	2264.370126	16191784.082980	16191784.082980	15364722.655760	7	11	5	10	0.940198
29	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	11207.265684	11214.227542	2224.255447	2332.741930	2252.438426	2260.839753	430199743.197585	454912673.780299	451628077.479796	11	22	12	16	0.993739
30	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	11181.268420	11188.218654	2264.370126	2328.490798	2283.283451	2286.996509	338530581.968578	370577561.060638	367429213.119345	10	22	13	15	0.967154
31	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	11208.272476	11215.234333	2252.438426	2372.261427	2307.708678	2307.708678	187436506.924960	200181744.138025	193188441.692633	11	20	10	16	0.963034
32	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	11193.284012	11200.245869	2272.186129	2332.741930	2290.506650	2303.843184	167115883.711738	185329311.279977	179066169.396590	13	21	9	16	0.979692
33	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	11279.285716	11286.286830	2286.996509	2356.029867	2319.545462	2315.219017	139769483.702820	159470697.620822	158306750.076796	12	20	9	15	0.958021
34	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	10407.645835	10414.126788	2283.283451	2332.741930	2315.219017	2311.493255	72840380.921150	77695152.813155	75872947.643506	11	17	7	14	0.975820
35	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	11193.273908	11200.235766	2247.918058	2290.506650	2272.186129	2272.186129	69414513.558484	69552584.366548	62545817.159249	13	20	8	17	0.910486
